PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,Timestamp
0.3629,0.7826424,0.1187,0,0,0,07/08/2024 15:29:53
0.3629,0.7826424,0.1187,0,0,0,07/08/2024 15:29:54
0.3629,0.7826424,0.1187,0,0,0,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-6.61393E-06,1.486357E-06,-2.053713E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-9.693415E-06,2.220182E-06,-2.228005E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-1.066306E-05,-2.146444E-07,-2.399745E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-7.31005E-06,-2.76246E-06,-2.58255E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-1.093417E-05,1.285634E-06,-2.698504E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-5.361967E-06,2.121845E-06,-2.878926E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-8.200401E-06,-4.396075E-07,-3.086407E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-4.937192E-06,2.983786E-07,-3.251207E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-5.856678E-06,1.139851E-06,-3.425138E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-9.694134E-06,1.85408E-06,-3.628588E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-5.434108E-06,-6.83688E-07,-3.797052E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:54
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:55
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:29:56
